methode,n,seed,cout,cout_initial,gain_pct,temps_total,n_vehicules,n_infaisables,valide
NNH+2opt,10,0,674.42,674.42,0.0,0.0001,4,0,True
NNH+2opt,10,1,522.34,522.34,0.0,0.0001,4,0,True
NNH+2opt,10,2,465.78,465.78,0.0,0.0001,4,0,True
NNH+2opt,10,3,457.14,457.14,0.0,0.0001,4,0,True
NNH+2opt,10,4,551.87,551.87,0.0,0.0001,3,0,True
NNH+2opt,10,5,656.86,656.86,0.0,0.0001,4,0,True
NNH+2opt,10,6,648.48,648.48,0.0,0.0001,4,0,True
NNH+2opt,10,7,426.2,426.2,0.0,0.0001,3,0,True
NNH+2opt,10,8,500.8,500.8,0.0,0.0001,4,0,True
NNH+2opt,10,9,505.79,505.79,0.0,0.0001,4,0,True
NNH+2opt,10,10,629.88,629.88,0.0,0.0001,4,0,True
NNH+2opt,10,11,551.1,551.1,0.0,0.0001,4,0,True
NNH+2opt,10,12,547.95,547.95,0.0,0.0001,4,0,True
NNH+2opt,10,13,736.09,736.09,0.0,0.0001,4,0,True
NNH+2opt,10,14,492.4,492.4,0.0,0.0001,5,0,True
NNH+2opt,10,15,510.23,510.23,0.0,0.0001,3,0,True
NNH+2opt,10,16,557.41,563.93,1.16,0.0002,3,0,True
NNH+2opt,10,17,592.21,592.21,0.0,0.0001,4,0,True
NNH+2opt,10,18,541.59,541.59,0.0,0.0001,4,0,True
NNH+2opt,10,19,408.52,408.52,0.0,0.0001,4,0,True
NNH+2opt,10,20,594.41,594.41,0.0,0.0001,4,0,True
NNH+2opt,10,21,636.98,636.98,0.0,0.0001,5,0,True
NNH+2opt,10,22,531.53,531.53,0.0,0.0001,3,0,True
NNH+2opt,10,23,538.14,538.14,0.0,0.0001,5,0,True
NNH+2opt,10,24,526.77,526.77,0.0,0.0001,3,0,True
NNH+2opt,10,25,473.41,473.41,0.0,0.0001,4,0,True
NNH+2opt,10,26,503.58,503.58,0.0,0.0001,4,0,True
NNH+2opt,10,27,581.9,581.9,0.0,0.0001,5,0,True
NNH+2opt,10,28,549.06,549.06,0.0,0.0001,4,0,True
NNH+2opt,10,29,635.47,635.47,0.0,0.0001,4,0,True
NNH+2opt,20,0,950.83,950.83,0.0,0.0003,5,0,True
NNH+2opt,20,1,870.81,870.81,0.0,0.0003,6,0,True
NNH+2opt,20,2,833.81,833.81,0.0,0.0003,7,0,True
NNH+2opt,20,3,848.96,848.96,0.0,0.0003,5,0,True
NNH+2opt,20,4,865.45,865.45,0.0,0.0003,5,0,True
NNH+2opt,20,5,823.68,825.9,0.27,0.0003,3,0,True
NNH+2opt,20,6,847.52,901.65,6.0,0.0003,5,1,False
NNH+2opt,20,7,921.06,934.6,1.45,0.0003,6,0,True
NNH+2opt,20,8,823.04,824.67,0.2,0.0003,4,0,True
NNH+2opt,20,9,978.94,978.94,0.0,0.0003,6,0,True
NNH+2opt,20,10,879.87,879.87,0.0,0.0003,7,0,True
NNH+2opt,20,11,867.82,867.95,0.02,0.0003,5,0,True
NNH+2opt,20,12,944.15,979.41,3.6,0.0003,6,0,True
NNH+2opt,20,13,910.64,910.64,0.0,0.0003,5,0,True
NNH+2opt,20,14,757.6,764.84,0.95,0.0003,5,0,True
NNH+2opt,20,15,617.1,617.1,0.0,0.0003,4,0,True
NNH+2opt,20,16,938.93,938.93,0.0,0.0003,7,0,True
NNH+2opt,20,17,672.77,690.69,2.59,0.0007,4,0,True
NNH+2opt,20,18,1026.93,1026.93,0.0,0.0003,7,0,True
NNH+2opt,20,19,762.07,772.17,1.31,0.0004,6,0,True
NNH+2opt,20,20,985.01,985.01,0.0,0.0004,8,0,True
NNH+2opt,20,21,834.68,835.84,0.14,0.0004,5,0,True
NNH+2opt,20,22,742.42,742.42,0.0,0.0004,5,0,True
NNH+2opt,20,23,749.53,749.53,0.0,0.0004,5,0,True
NNH+2opt,20,24,975.95,975.95,0.0,0.0003,5,0,True
NNH+2opt,20,25,996.99,1003.27,0.63,0.0003,7,0,True
NNH+2opt,20,26,978.64,978.64,0.0,0.0004,8,0,True
NNH+2opt,20,27,866.06,866.06,0.0,0.0003,4,0,True
NNH+2opt,20,28,928.53,928.53,0.0,0.0003,6,0,True
NNH+2opt,20,29,1034.49,1034.49,0.0,0.0003,7,0,True
NNH+2opt,50,0,1481.7,1489.44,0.52,0.0017,9,0,True
NNH+2opt,50,1,1518.28,1518.28,0.0,0.0014,9,0,True
NNH+2opt,50,2,1576.78,1605.17,1.77,0.0016,9,0,True
NNH+2opt,50,3,1674.98,1704.24,1.72,0.0017,9,0,True
NNH+2opt,50,4,1472.34,1476.49,0.28,0.0016,9,0,True
NNH+2opt,50,5,1732.78,1740.38,0.44,0.0015,10,0,True
NNH+2opt,50,6,1917.41,1917.41,0.0,0.0014,12,0,True
NNH+2opt,50,7,1611.4,1613.4,0.12,0.0016,10,0,True
NNH+2opt,50,8,1526.3,1548.54,1.44,0.0017,9,0,True
NNH+2opt,50,9,1767.77,1771.82,0.23,0.0015,11,0,True
NNH+2opt,50,10,1538.44,1538.44,0.0,0.0017,10,0,True
NNH+2opt,50,11,1717.98,1717.98,0.0,0.0014,8,0,True
NNH+2opt,50,12,1554.26,1554.26,0.0,0.0014,10,0,True
