n_clients,run,cout,temps_s,n_vehicules
10,1,603.8708,0.4107,5
10,2,1820.8889,0.4073,5
10,3,649.8185,0.3909,5
10,4,513.943,0.3918,5
10,5,491.8443,0.4589,5
10,6,606.8338,0.3921,5
10,7,573.0094,0.3701,5
10,8,521.9234,0.3733,5
10,9,585.8937,0.367,5
10,10,613.4244,0.3694,5
10,11,752.5286,0.3748,5
10,12,1497.3427,0.3792,5
10,13,586.1908,0.3713,5
10,14,755.7317,0.3794,5
10,15,548.8114,0.378,5
10,16,1053.6691,0.3785,5
10,17,600.0917,0.3766,5
10,18,453.3028,0.3745,5
10,19,594.7263,0.3712,5
10,20,450.3044,0.3737,5
10,21,513.3057,0.3746,5
10,22,660.8203,0.3739,5
10,23,583.4865,0.3773,5
10,24,538.1377,0.3729,5
10,25,504.8404,0.3789,5
10,26,3611.9441,0.3783,5
10,27,658.0237,0.3974,5
10,28,509.2967,0.3819,5
10,29,1792.5808,0.3787,5
10,30,543.7373,0.3763,5
20,1,20485.4221,0.5877,5
20,2,18742.378,0.5881,5
20,3,7900.616,0.591,5
20,4,1059.2946,0.5864,5
20,5,13452.3328,0.5874,5
20,6,8505.3345,0.5859,5
20,7,13806.2919,0.5858,5
20,8,1476.3887,0.5837,5
20,9,1137.4966,0.5832,5
20,10,12407.4454,0.5881,5
20,11,16981.5046,0.5956,5
20,12,12469.361,0.612,5
20,13,4784.1414,0.6028,5
20,14,24050.8452,0.5936,5
20,15,3916.8083,0.5895,5
20,16,4575.6325,0.5891,5
20,17,36782.6443,0.5937,5
20,18,13050.5688,0.5895,5
20,19,1132.4215,0.5894,5
20,20,10740.991,0.5926,5
20,21,7959.1179,0.6191,5
20,22,4692.6705,0.5847,5
20,23,5984.1882,0.5873,5
20,24,8357.716,0.5856,5
20,25,7956.6405,0.587,5
20,26,805.8787,0.5817,5
20,27,6851.4159,0.5846,5
20,28,23150.4245,0.5923,5
20,29,1123.3982,0.5942,5
20,30,948.2465,0.6025,5
50,1,2589166.2821,1.245,5
50,2,1782524.6543,1.2463,5
50,3,1621311.4875,1.2457,5
50,4,1771014.8337,1.2398,5
50,5,1242429.6919,1.239,5
50,6,1828124.2816,1.254,5
50,7,2933579.0561,1.2436,5
50,8,2295649.2858,1.245,5
50,9,1502502.6889,1.2415,5
50,10,1484341.9866,1.2441,5
50,11,1663830.1543,1.2516,5
50,12,2113601.5508,1.281,5
50,13,2077084.4118,1.2352,5
50,14,1762862.5231,1.2312,5
50,15,1731688.1142,1.2358,5
50,16,2427035.1772,1.2373,5
50,17,1603819.1079,1.2256,5
50,18,1886733.7164,1.2297,5
50,19,1062280.1836,1.2254,5
50,20,1675862.9393,1.2663,5
50,21,1913772.8202,1.2841,5
50,22,1423095.4569,1.2852,5
50,23,2135562.6861,1.2681,5
50,24,2987348.1029,1.2601,5
50,25,2330027.6061,1.2482,5
50,26,2159948.495,1.2965,5
50,27,1966063.6484,1.2583,5
50,28,1613114.5296,1.2488,5
50,29,1648615.3893,1.2512,5
50,30,2480579.8978,1.2572,5
