n,Métrique,Moyenne,Écart-type,Variance,Min,Médiane,Max,CV (%)
10,Coût,1793.311,115.887,13429.886,1580.473,1788.639,2028.454,6.5
10,Temps (s),2.431,0.441,0.194,1.438,2.422,3.241,18.1
10,Nb véhicules,2.5,0.509,0.259,2.0,2.5,3.0,20.3
20,Coût,3202.284,322.5,104005.997,2662.744,3184.944,4278.765,10.1
20,Temps (s),8.468,1.203,1.448,6.698,8.695,11.364,14.2
20,Nb véhicules,3.5,0.509,0.259,3.0,3.5,4.0,14.5
50,Coût,7696.433,688.38,473866.751,5790.414,7697.338,9097.28,8.9
50,Temps (s),28.508,3.836,14.716,19.831,28.684,34.798,13.5
50,Nb véhicules,5.3,0.535,0.286,4.0,5.0,6.0,10.1
100,Coût,15161.68,1296.422,1680710.729,12956.845,15081.483,17568.501,8.6
100,Temps (s),95.154,13.436,180.515,71.674,95.239,123.192,14.1
100,Nb véhicules,7.567,0.858,0.737,6.0,8.0,9.0,11.3
200,Coût,28926.496,2574.184,6626423.959,24062.382,28850.492,34065.882,8.9
200,Temps (s),314.163,40.812,1665.651,223.243,307.43,427.832,13.0
200,Nb véhicules,11.6,1.499,2.248,8.0,12.0,15.0,12.9
