n,seed,T0,alpha,n_iter,cout_initial,cout_final,amelioration,temps,valide,n_vehicles
10,0,5000.0,0.998,10000,703.84,584.77,16.92,0.294,True,3
10,1,5000.0,0.998,10000,589.08,422.16,28.34,0.293,True,3
10,2,5000.0,0.998,10000,502.81,370.38,26.34,0.305,True,3
10,3,5000.0,0.998,10000,499.77,409.8,18.0,0.289,True,3
10,4,5000.0,0.998,10000,568.44,428.59,24.6,0.293,True,3
10,5,5000.0,0.998,10000,585.56,531.77,9.18,0.286,True,3
10,6,5000.0,0.998,10000,752.17,450.96,40.05,0.288,True,3
10,7,5000.0,0.998,10000,691.63,412.45,40.37,0.291,True,3
10,8,5000.0,0.998,10000,526.04,352.29,33.03,0.286,True,3
10,9,5000.0,0.998,10000,627.72,516.09,17.78,0.282,True,3
10,10,5000.0,0.998,10000,658.78,527.17,19.98,0.283,True,3
10,11,5000.0,0.998,10000,630.03,436.39,30.74,0.282,True,3
10,12,5000.0,0.998,10000,696.38,461.06,33.79,0.284,True,3
10,13,5000.0,0.998,10000,678.5,569.96,16.0,0.282,True,3
10,14,5000.0,0.998,10000,473.05,358.85,24.14,0.277,True,3
10,15,5000.0,0.998,10000,685.57,445.54,35.01,0.28,True,3
10,16,5000.0,0.998,10000,609.29,515.62,15.37,0.284,True,3
10,17,5000.0,0.998,10000,521.88,502.5,3.71,0.284,True,3
10,18,5000.0,0.998,10000,538.9,463.5,13.99,0.279,True,3
10,19,5000.0,0.998,10000,476.22,378.44,20.53,0.286,True,3
10,20,5000.0,0.998,10000,672.61,430.02,36.07,0.282,True,3
10,21,5000.0,0.998,10000,658.06,534.54,18.77,0.282,True,3
10,22,5000.0,0.998,10000,748.81,471.25,37.07,0.284,True,3
10,23,5000.0,0.998,10000,432.16,349.82,19.05,0.289,True,3
10,24,5000.0,0.998,10000,508.42,408.42,19.67,0.278,True,3
10,25,5000.0,0.998,10000,666.47,395.52,40.65,0.28,True,3
10,26,5000.0,0.998,10000,479.77,416.52,13.18,0.282,True,3
10,27,5000.0,0.998,10000,597.18,478.59,19.86,0.282,True,3
10,28,5000.0,0.998,10000,692.9,445.96,35.64,0.281,True,3
10,29,5000.0,0.998,10000,734.14,513.74,30.02,0.282,True,3
20,0,5000.0,0.998,10000,1155.42,731.85,36.66,0.45,True,3
20,1,5000.0,0.998,10000,1364.12,811.45,40.51,0.426,True,3
20,2,5000.0,0.998,10000,1070.2,594.17,44.48,0.447,True,3
20,3,5000.0,0.998,10000,1208.64,638.64,47.16,0.425,True,3
20,4,5000.0,0.998,10000,1039.21,737.08,29.07,0.421,True,3
20,5,5000.0,0.998,10000,1268.8,568.95,55.16,0.414,True,3
20,6,5000.0,0.998,10000,1194.54,634.22,46.91,0.444,False,3
20,7,5000.0,0.998,10000,1084.84,728.33,32.86,0.427,True,3
20,8,5000.0,0.998,10000,1071.52,650.23,39.32,0.427,True,3
20,9,5000.0,0.998,10000,1226.7,724.29,40.96,0.427,True,3
20,10,5000.0,0.998,10000,1159.73,715.1,38.34,0.429,True,3
20,11,5000.0,0.998,10000,1084.17,690.53,36.31,0.434,True,3
20,12,5000.0,0.998,10000,1244.29,580.8,53.32,0.43,True,3
20,13,5000.0,0.998,10000,1361.66,744.71,45.31,0.424,True,3
20,14,5000.0,0.998,10000,1182.1,663.69,43.85,0.431,True,3
20,15,5000.0,0.998,10000,1077.75,646.18,40.04,0.424,True,3
20,16,5000.0,0.998,10000,1171.22,705.85,39.73,0.433,True,3
20,17,5000.0,0.998,10000,1045.93,736.59,29.58,0.426,True,3
20,18,5000.0,0.998,10000,1196.67,625.25,47.75,0.439,True,3
20,19,5000.0,0.998,10000,1124.02,482.45,57.08,0.429,True,3
20,20,5000.0,0.998,10000,927.9,613.09,33.93,0.433,True,3
20,21,5000.0,0.998,10000,1009.36,638.29,36.76,0.428,True,3
20,22,5000.0,0.998,10000,1027.43,593.75,42.21,0.43,True,3
20,23,5000.0,0.998,10000,1120.69,639.66,42.92,0.427,True,3
20,24,5000.0,0.998,10000,1075.08,559.46,47.96,0.432,True,3
20,25,5000.0,0.998,10000,1132.62,675.17,40.39,0.426,True,3
20,26,5000.0,0.998,10000,1011.89,654.76,35.29,0.433,True,3
20,27,5000.0,0.998,10000,1039.92,717.12,31.04,0.425,True,3
20,28,5000.0,0.998,10000,1328.31,808.62,39.12,0.432,True,3
20,29,5000.0,0.998,10000,1193.71,733.93,38.52,0.424,True,3
50,0,5000.0,0.998,10000,2816.01,1515.33,46.19,0.881,True,5
50,1,5000.0,0.998,10000,2646.22,1262.15,52.3,0.903,True,5
50,2,5000.0,0.998,10000,2751.78,1318.47,52.09,0.911,True,5
50,3,5000.0,0.998,10000,2666.27,1349.93,49.37,0.89,True,5
50,4,5000.0,0.998,10000,2416.01,1352.18,44.03,0.899,True,5
50,5,5000.0,0.998,10000,2805.3,1289.1,54.05,0.887,True,5
50,6,5000.0,0.998,10000,2977.42,1509.36,49.31,0.884,True,5
50,7,5000.0,0.998,10000,3075.04,1572.99,48.85,0.897,True,5
50,8,5000.0,0.998,10000,2354.17,1085.01,53.91,0.911,True,5
50,9,5000.0,0.998,10000,2554.95,1351.89,47.09,0.892,True,5
50,10,5000.0,0.998,10000,2519.01,1385.89,44.98,0.89,True,5
50,11,5000.0,0.998,10000,2816.86,1371.84,51.3,0.9,True,5
50,12,5000.0,0.998,10000,2620.58,1307.04,50.12,0.887,True,5
50,13,5000.0,0.998,10000,2896.98,1506.12,48.01,0.904,True,5
50,14,5000.0,0.998,10000,2619.73,1567.62,40.16,0.888,True,5
50,15,5000.0,0.998,10000,2781.85,1562.45,43.83,0.887,True,5
50,16,5000.0,0.998,10000,2737.75,1627.01,40.57,0.905,True,5
