n,Métrique,Moyenne,Écart-type,Variance,Min,Médiane,Max,CV (%)
10,Coût,454.725,58.852,3463.537,360.869,471.568,548.7,12.9
10,Temps (s),0.383,0.013,0.0,0.358,0.379,0.411,3.5
10,Nb véhicules,3.0,0.0,0.0,3.0,3.0,3.0,0.0
20,Coût,788.464,77.403,5991.284,657.561,775.562,917.984,9.8
20,Temps (s),0.69,0.015,0.0,0.666,0.686,0.714,2.1
20,Nb véhicules,3.0,0.0,0.0,3.0,3.0,3.0,0.0
50,Coût,1517.497,48.319,2334.685,1432.09,1539.401,1565.988,3.2
50,Temps (s),3.578,0.062,0.004,3.46,3.596,3.643,1.7
50,Nb véhicules,5.0,0.0,0.0,5.0,5.0,5.0,0.0
100,Coût,2948.855,267.89,71765.198,2658.595,2955.58,3225.666,9.1
100,Temps (s),10.168,0.203,0.041,9.985,10.117,10.451,2.0
100,Nb véhicules,10.0,0.0,0.0,10.0,10.0,10.0,0.0
200,Coût,5990.272,203.155,41272.082,5846.62,5990.272,6133.925,3.4
200,Temps (s),25.693,1.411,1.992,24.695,25.693,26.691,5.5
200,Nb véhicules,20.0,0.0,0.0,20.0,20.0,20.0,0.0
